LMGP00000048	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C43H82NO10P	1-octadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphothreonine	PT(18:0/18:1(9Z))	PT(18:0/18:1)
LMGP00000050	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C39H77O8PS	1,2-dihexadecanoyl-sn-glycero-3-phosphosulfocholine	N/A	N/A
LMGP00000051	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C35H69O8PS	1,2-ditetradecanoyl-sn-glycero-3-phosphosulfocholine	N/A	N/A
LMGP00000052	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C37H73O8PS	1-tetradecanoyl-2-hexadecanoyl-sn-glycero-3-phosphosulfocholine	N/A	N/A
LMGP00000053	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C49H97O8PS	1-eicosanoyl-2-docosanoyl-sn-glycero-3-phosphosulfocholine	N/A	N/A
LMGP00000054	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C51H101O8PS	1,2-didocosanoyl-sn-glycero-3-phosphosulfocholine	N/A	N/A
LMGP00000055	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C21H41O6P	1-octadecanoyl-sn-glycero-2,3-cyclic phosphate	CPA(18:0)	1-stearoyl-cyclic phosphatidic acid; cLPA(18:0)
LMGP00000056	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C21H39O6P	1-(9Z-octadecenoyl)-sn-glycero-2,3-cyclic phosphate	CPA(18:1(9Z))	1-oleoyl-cyclic phosphatidic acid; cLPA(18:1)
LMGP00000057	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C19H37O6P	1-hexadecanoyl-sn-glycero-2,3-cyclic-phosphate	CPA(16:0)	16:0 cyclic LPA; cLPA(16:0)
LMGP00000059	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C59H104NO11P	N/A	PE(16:0/18:1(9Z))-15-isoLG pyrrole	PE(34:1)-isoK pyrrole
LMGP00000060	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C59H104NO12P	N/A	PE(16:0/18:1(9Z))-15-isoLG lactam	PE(34:1)-isoK lactam
LMGP00000061	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C59H104NO13P	N/A	PE(16:0/18:1(9Z))-15-isoLG hydroxylactam	PE(34:1)-isoK hydroxylactam
LMGP00000062	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C46H95O11PS	2,3-di-O-phytanyl-sn-glycero-1-phospho-(3'-sn-glycerol-1'-sulfate)	PGS	N/A
LMGP00000064	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C20H43O6P	1-O-hexadecyl-sn-glycero-3-phosphoric acid methyl ester	mLPA(O-16:0)	N/A
LMGP00000065	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C22H47O6P	1-O-octadecyl-sn-glycero-3-phosphoric acid methyl ester	mLPA(O-18:0)	N/A
LMGP00000067	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C47H82NO10P	1-(9Z-eicosenoyl)-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphothreonine	PT(20:1(9Z)/20:4(5Z,8Z,11Z,14Z))	PT(20:1/20:4)
LMGP00000063	Glycerophospholipids [GP]	Other Glycerophospholipids [GP00]	C19H37O7P	1-hexadecanoyl-glycerone 3-phosphate	1-palmitoylglycerone 3-phosphate	N/A
LMGP01010001	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	C33H66NO8P	1-dodecanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine	PC(12:0/13:0)	PC(25:0); PC(12:0_13:0)
LMGP01010002	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	C39H76NO8P	1-hexadecanoyl-2-(14-pentadecenoyl)-sn-glycero-3-phosphocholine	PC(16:0/15:1(14))	PC(16:0/15:1); PC(31:1); PC(15:1_16:0)
