"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,2,2,1,2,1,2,2
"2",3,2,2,1,2,1,2,2
"3",3,2,2,1,2,1,2,2
"4",3,2,2,2,2,1,2,2
"5",3,2,2,1,2,1,2,2
"6",3,2,2,1,2,1,1,2
"7",3,2,2,1,2,1,1,2
"8",3,2,2,1,2,1,2,2
"9",3,2,2,1,2,1,2,2
"10",3,2,2,1,2,1,2,2
"11",3,2,2,1,2,1,2,2
"12",3,2,2,1,2,1,2,2
"13",3,2,2,1,2,1,1,2
"14",3,2,2,1,2,1,1,1
"15",3,2,2,1,2,1,1,2
"16",3,2,2,1,2,1,2,1
"17",3,2,2,1,2,1,2,3
"18",2,1,2,2,2,1,2,1
"19",1,1,1,1,2,1,1,1
"20",1,1,1,1,1,1,1,1
"21",2,1,2,1,1,1,1,3
"22",3,2,2,1,2,1,2,2
"23",3,2,2,2,2,1,2,2
"24",3,2,2,2,2,1,2,2
"25",3,2,2,1,2,1,2,2
"26",3,2,2,2,2,1,2,2
"27",3,2,2,1,2,1,1,2
"28",3,2,2,2,2,1,2,2
"29",3,2,2,1,2,1,1,2
"30",3,2,2,1,2,1,2,2
"31",3,2,2,1,2,1,1,2
"32",3,2,2,1,2,1,2,2
"33",3,2,2,1,2,1,1,2
"34",3,2,2,1,2,1,1,2
"35",3,2,2,1,2,1,1,1
"36",3,2,2,1,2,1,1,1
"37",3,2,2,1,2,1,2,3
"38",3,2,2,1,2,1,2,3
"39",2,1,2,2,2,1,3,1
"40",1,1,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1
"43",3,2,2,1,2,1,2,2
"44",3,2,2,1,2,1,2,2
"45",3,2,2,2,2,1,1,2
"46",3,2,2,1,2,1,1,2
"47",3,2,2,1,2,1,1,2
"48",3,2,2,1,2,1,2,2
"49",3,2,2,1,2,1,1,2
"50",3,2,2,1,2,1,1,2
"51",3,2,2,1,2,1,1,2
"52",3,2,2,1,2,1,2,2
"53",3,2,2,1,2,1,1,2
"54",3,2,2,1,2,1,1,2
"55",3,2,2,1,2,1,1,2
"56",3,2,2,1,2,1,1,2
"57",2,2,2,1,2,1,1,1
"58",2,2,2,1,2,1,1,3
"59",2,2,2,2,2,1,3,1
"60",1,1,1,1,2,1,1,1
"61",1,1,1,1,1,1,1,1
"62",1,1,1,1,1,1,1,1
"63",3,1,2,1,1,1,1,3
"64",3,2,2,1,2,1,2,2
"65",3,2,2,1,2,1,2,2
"66",3,2,2,1,2,1,2,2
"67",3,2,2,1,2,1,1,2
"68",3,2,2,1,2,1,1,2
"69",3,3,2,1,2,1,1,2
"70",3,2,2,2,2,1,1,2
"71",3,2,2,2,2,1,1,2
"72",3,2,2,2,2,1,1,2
"73",3,2,2,1,2,1,1,2
"74",3,2,2,2,2,1,2,2
"75",3,2,2,1,2,1,1,2
"76",3,2,2,1,2,1,1,2
"77",3,2,2,1,2,1,1,1
"78",2,2,2,1,2,1,2,1
"79",2,2,2,2,2,1,3,1
"80",2,2,2,2,2,1,3,1
"81",1,1,1,1,2,1,1,1
"82",1,1,1,1,1,1,1,1
"83",1,1,1,1,1,1,1,1
"84",3,1,2,1,1,1,1,3
"85",3,2,2,1,2,1,2,2
"86",3,2,2,1,2,1,2,2
"87",3,2,2,1,2,1,1,2
"88",3,2,2,1,2,1,1,2
"89",3,2,2,1,2,1,1,2
"90",3,2,2,1,2,1,1,2
"91",3,2,2,1,2,1,1,2
"92",3,2,2,1,2,1,1,2
"93",3,2,2,1,2,1,1,2
"94",3,2,2,1,2,1,1,2
"95",3,2,2,1,2,1,1,2
"96",3,2,2,1,2,1,1,2
"97",3,2,2,1,2,1,1,1
"98",2,2,2,1,2,1,1,1
"99",2,2,2,1,2,1,1,1
"100",2,1,2,2,2,1,2,1
"101",1,1,2,1,2,1,1,1
"102",1,1,1,1,1,1,1,1
"103",1,1,1,1,1,1,1,1
"104",1,1,1,1,1,1,1,1
"105",3,1,2,1,1,1,1,3
"106",3,2,2,1,2,1,1,2
"107",3,2,2,1,2,1,1,2
"108",3,2,2,1,2,1,1,2
"109",3,2,2,1,2,1,1,2
"110",3,2,2,1,2,1,1,2
"111",3,2,2,1,2,1,1,2
"112",3,2,2,1,2,1,1,2
"113",3,2,2,1,2,1,2,2
