"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"1",0,0,2,2,2
"2",1,0,2,2,2
"3",2,0,2,2,1
"4",3,0,2,2,1
"5",4,0,2,2,1
"6",5,0,2,2,2
"7",6,0,2,2,1
"8",7,0,2,2,2
"9",8,0,2,2,2
"10",9,0,2,2,2
"11",10,0,2,2,2
"12",11,0,2,2,1
"13",12,0,2,1,1
"14",13,0,2,2,1
"15",14,0,2,1,1
"16",15,0,2,1,1
"17",16,0,2,2,2
"18",17,0,2,1,1
"19",18,0,2,1,1
"20",19,0,2,1,1
"21",20,0,2,2,1
"22",21,0,2,1,1
"23",22,0,2,1,1
"24",23,0,2,1,1
"25",24,0,2,1,1
"26",25,0,2,2,2
"27",26,0,2,1,1
"28",27,0,2,1,1
"29",28,0,2,1,1
"30",29,0,2,2,2
"31",30,0,2,1,1
"32",31,0,2,1,1
"33",32,0,2,2,2
"34",33,0,2,2,1
"35",34,0,2,2,1
"36",35,0,2,2,1
"37",36,0,2,1,2
"38",37,0,2,1,2
"39",38,0,2,2,2
"40",39,0,2,2,2
"41",0,1,2,2,2
"42",1,1,2,2,2
"43",2,1,2,2,2
"44",3,1,2,2,2
"45",4,1,2,2,1
"46",5,1,2,2,1
"47",6,1,2,2,1
"48",7,1,2,2,2
"49",8,1,2,2,2
"50",9,1,2,2,2
"51",10,1,2,2,1
"52",11,1,2,1,1
"53",12,1,2,2,1
"54",13,1,2,1,1
"55",14,1,2,1,1
"56",15,1,2,2,2
"57",16,1,2,1,1
"58",17,1,2,1,1
"59",18,1,2,1,1
"60",19,1,2,1,1
"61",20,1,2,1,1
"62",21,1,2,2,1
"63",22,1,2,2,1
"64",23,1,2,1,1
"65",24,1,2,2,2
"66",25,1,2,2,2
"67",26,1,2,1,1
"68",27,1,2,1,1
"69",28,1,2,2,2
"70",29,1,2,2,2
"71",30,1,2,1,1
"72",31,1,2,1,1
"73",32,1,2,2,1
"74",33,1,2,2,1
"75",34,1,2,2,1
"76",35,1,2,2,1
"77",36,1,2,1,2
"78",37,1,2,1,2
"79",38,1,2,1,1
"80",39,1,2,2,2
"81",0,2,2,2,2
"82",1,2,2,2,1
"83",2,2,2,2,1
"84",3,2,2,2,1
"85",4,2,2,2,2
"86",5,2,2,2,2
"87",6,2,2,1,1
"88",7,2,2,2,1
"89",8,2,2,2,1
"90",9,2,2,1,1
"91",10,2,2,2,2
"92",11,2,2,1,1
"93",12,2,2,1,1
"94",13,2,2,2,1
"95",14,2,2,1,1
"96",15,2,2,1,1
"97",16,2,2,2,2
"98",17,2,2,1,1
"99",18,2,2,2,2
"100",19,2,2,1,1
"101",20,2,2,1,1
"102",21,2,2,1,1
"103",22,2,2,2,1
"104",23,2,2,2,2
"105",24,2,2,1,1
"106",25,2,2,2,2
"107",26,2,2,1,1
"108",27,2,2,1,1
"109",28,2,2,1,1
"110",29,2,2,1,1
"111",30,2,2,1,1
"112",31,2,2,2,1
