Formula	Mass	Initial estimation	Number of pixels	Assigned
C40H77NO9	754.52353956379	0.0	0	False
C39H73NO8	722.49732481451	0.0	0	False
C45H87O12P	889.55722174149	0.0	0	False
C48H96NO6P	852.6612333149201	3.024799408982847e-06	4	True
C47H95O9P	873.6350781390499	0.0	0	False
C48H93NO8	850.65382545991	0.0	0	False
C39H73O8P	739.46801280891	0.0009751505082196508	2635	True
C50H92NO7P	888.62484780604	0.0	0	False
C50H86NO8P	898.57281223262	0.0	0	False
C41H77O9P	783.49422755819	0.0	0	False
C44H87NO10	828.59670450669	0.0	0	False
C48H92NO9P	896.61467704644	3.40051755150323e-06	6	True
C42H79O13P	861.48953610353	0.0	0	False
C38H75O9P	745.4785774936499	3.5036900581421447e-07	2	True
C36H72NO8P	716.46326178084	0.0	0	False
C41H74NO8P	778.47891184538	0.0	0	False
C31H54NO13P	718.2969843009801	1.4582289437834548e-07	1	True
C42H84NO8P	800.55716216808	4.133181898988908e-07	2	True
C41H72NO8P	776.46326178084	0.0	0	False
C40H80NO9P	788.5207766592	0.0	0	False
C49H99N2O6P	881.68778241593	0.0	0	False
C50H99NO8	880.70077565353	0.0	0	False
C30H52NO13P	704.28133423644	3.4805264594021923e-07	4	True
C37H71O9P	729.44727736457	0.0	0	False
C42H71O13P	853.42693584537	0.0	0	False
C39H73O12P	803.44767128971	5.092376807771564e-07	1	True
C38H73NO8	710.49732481451	0.0	0	False
C42H77O10P	811.48914217839	0.0	0	False
C46H89NO10	854.6123545712301	0.0	0	False
C40H76NO9P	784.48947653012	0.0	0	False
C40H71O9P	765.44727736457	0.0	0	False
C48H91O10P	897.59869263017	9.929198865298855e-05	254	True
C43H74NO6P	770.48908260498	0.0	0	False
C41H78NO9P	798.5051265946599	0.0	0	False
C52H105NO4	846.76806736635	0.0	0	False
C43H83NO4	716.5959166564099	0.0	0	False
C38H75NO8	712.51297487905	0.0	0	False
C48H76NO10P	896.48439115032	0.0	0	False
C42H77O13P	859.47388603899	0.0	0	False
C50H102NO7P	898.7030981287401	0.0	0	False
C45H88NO7P	824.59354767696	2.01358885128162e-06	1	True
C44H79O9P	821.5098776227301	0.0	0	False
C45H89NO3	730.64795222983	0.0	0	False
C42H81N2O7P	795.5418464552699	0.0	0	False
C49H78NO8P	878.5102119744599	0.0	0	False
C35H65O13P	763.3799856517501	0.0	0	False
C41H79O13P	849.48953610353	0.0	0	False
C42H78NO9P	810.5051265946599	0.0	0	False
C45H80NO10P	864.5156912794	0.0	0	False
C42H83O10P	817.53609237201	0.0	0	False
C42H76NO10P	824.48439115032	0.0	0	False
C43H83O9P	813.54117775181	0.0	0	False
C40H81O9P	775.52552768727	3.0017347752901287e-07	1	True
C48H97O9P	887.65072820359	0.0	0	False
C43H83NO10	812.56540437761	5.768754333897793e-06	17	True
C40H75O12P	817.46332135425	1.146057590242022e-06	7	True
C39H77O7P	727.50439831779	0.0	0	False
C45H92NO7P	828.62484780604	0.0	0	False
C41H72NO10P	808.45309102124	0.0	0	False
C47H96NO7P	856.65614793512	0.0	0	False
C36H68NO10P	744.4217908921601	1.816672466594135e-18	1	False
C39H69O7P	719.44179805963	0.0	0	False
C46H91NO10	856.62800463577	0.0	0	False
C39H72NO7P	736.46834716064	0.0	0	False
C39H73O13P	819.44258590991	-4.570072772914764e-19	0	False
C48H89NO9	862.6174399510301	0.0	0	False
C41H79NO10	784.53410424853	5.422212515397748e-06	26	True
C39H79O7P	729.5200483823301	0.0	0	False
C36H61NO16	802.3627413888701	3.825787959688627e-18	1	False
C45H89N2O6P	823.60953209323	0.0	0	False
C46H79O10P	861.5047922429301	0.0	0	False
C34H65O10P	703.39524179115	0.0	0	False
C31H53O13P	703.28608526451	3.293054096855906e-08	1	True
C42H83N2O7P	797.55749651981	0.0	0	False
C41H81N2O6P	767.5469318350699	0.0	0	False
C45H86NO7P	822.57789761242	0.0	0	False
C44H83NO13	872.55014823821	4.517119442681601e-07	2	True
C51H103NO5	848.74733192201	0.0	0	False
C37H61O8P	703.37411242167	0.0	0	False
C45H89O7P	811.59829870503	4.5217338276400195e-07	2	True
C39H67O16P	861.38037957689	0.0	0	False
C35H71O9P	705.44727736457	0.0	0	False
C41H82NO8P	786.5415121035401	-7.6814456793364405e-19	0	False
C43H83NO9	796.57048975741	0.0	0	False
C45H88NO9P	856.58337691736	-8.090937096230363e-18	0	False
