Formula	Mass	Initial estimation	Number of pixels	Assigned
C40H77NO9	754.52353956379	9.666881379379985e-09	1	True
C39H73NO8	722.49732481451	1.2735542495189095e-06	140	True
C45H87O12P	889.55722174149	0.0	0	False
C48H96NO6P	852.6612333149201	1.6765627030063632e-07	59	True
C47H95O9P	873.6350781390499	0.0	0	False
C48H93NO8	850.65382545991	0.0012182359475225938	14250	True
C39H73O8P	739.46801280891	0.012135086409920705	32523	True
C50H92NO7P	888.62484780604	2.1428535585473684e-19	2	False
C50H86NO8P	898.57281223262	1.1023134511853298e-06	94	True
C41H77O9P	783.49422755819	3.955917296204521e-08	4	True
C44H87NO10	828.59670450669	-6.431545926484003e-12	0	False
C48H92NO9P	896.61467704644	4.46935363325115e-08	5	True
C42H79O13P	861.48953610353	9.254577241757795e-09	1	True
C38H75O9P	745.4785774936499	1.868342284615055e-05	1101	True
C36H72NO8P	716.46326178084	2.833821652325495e-07	31	True
C41H74NO8P	778.47891184538	0.00032607605954466636	13079	True
C31H54NO13P	718.2969843009801	4.325052853613868e-08	4	True
C42H84NO8P	800.55716216808	0.005599178280616171	31150	True
C41H72NO8P	776.46326178084	1.4791613684850774e-07	12	True
C40H80NO9P	788.5207766592	1.071855098457199e-05	708	True
C49H99N2O6P	881.68778241593	-3.798680345766755e-19	0	False
C50H99NO8	880.70077565353	5.820120216966711e-19	1	False
C30H52NO13P	704.28133423644	1.2947817090141977e-07	15	True
C37H71O9P	729.44727736457	7.184260855972417e-09	1	True
C42H71O13P	853.42693584537	0.0	0	False
C39H73O12P	803.44767128971	7.017524101584825e-09	1	True
C38H73NO8	710.49732481451	8.101492529304486e-07	81	True
C42H77O10P	811.48914217839	6.10323126610911e-07	67	True
C46H89NO10	854.6123545712301	0.0	0	False
C40H76NO9P	784.48947653012	1.6148045533406218e-08	1	True
C40H71O9P	765.44727736457	0.0	0	False
C48H91O10P	897.59869263017	7.413665782523677e-05	1136	True
C43H74NO6P	770.48908260498	2.2783915643736328e-08	8	True
C41H78NO9P	798.5051265946599	3.8404256795725786e-07	31	True
C52H105NO4	846.76806736635	9.991277652428144e-18	1	False
C43H83NO4	716.5959166564099	0.0	0	False
C38H75NO8	712.51297487905	0.0	0	False
C48H76NO10P	896.48439115032	0.00032740773904305553	11923	True
C42H77O13P	859.47388603899	0.0	0	False
C50H102NO7P	898.7030981287401	0.0	0	False
C45H88NO7P	824.59354767696	1.9651281382717142e-08	7	True
C44H79O9P	821.5098776227301	2.6198781279017267e-07	36	True
C45H89NO3	730.64795222983	0.0	0	False
C42H81N2O7P	795.5418464552699	0.00029049399448452664	8432	True
C49H78NO8P	878.5102119744599	5.371055032278725e-07	41	True
C35H65O13P	763.3799856517501	1.0452080455109255e-08	1	True
C41H79O13P	849.48953610353	1.6708063351991597e-07	19	True
C42H78NO9P	810.5051265946599	1.0017487119342749e-06	104	True
C45H80NO10P	864.5156912794	1.2586339176823147e-08	1	True
C42H83O10P	817.53609237201	6.593161247373491e-06	875	True
C42H76NO10P	824.48439115032	1.9037343185803925e-06	150	True
C43H83O9P	813.54117775181	4.794794062143703e-08	5	True
C40H81O9P	775.52552768727	0.00016403202065829549	6395	True
C48H97O9P	887.65072820359	0.0	0	False
C43H83NO10	812.56540437761	0.0	0	False
C40H75O12P	817.46332135425	1.0967809464146629e-08	1	True
C39H77O7P	727.50439831779	7.77889679354598e-08	8	True
C45H92NO7P	828.62484780604	4.576337287075941e-08	2	True
C41H72NO10P	808.45309102124	1.1766935056657714e-06	123	True
C47H96NO7P	856.65614793512	-9.060919097220084e-19	0	False
C36H68NO10P	744.4217908921601	0.0	0	False
C39H69O7P	719.44179805963	0.0	0	False
C46H91NO10	856.62800463577	0.0	0	False
C39H72NO7P	736.46834716064	4.4465506590838876e-08	7	True
